folder,image,seed,auto_count
K0_incid,10,59,16
K0_incid,10,60,16
K0_incid,11,1,286
K0_incid,11,2,187
K0_incid,11,3,49
K0_incid,11,4,23
K0_incid,11,5,19
K0_incid,11,6,18
K0_incid,11,7,16
K0_incid,11,8,14
K0_incid,11,9,14
K0_incid,11,10,14
K0_incid,11,11,14
K0_incid,11,12,14
K0_incid,11,13,14
K0_incid,11,14,14
K0_incid,11,15,14
K0_incid,11,16,14
K0_incid,11,17,14
K0_incid,11,18,14
K0_incid,11,19,14
K0_incid,11,20,14
K0_incid,11,21,14
K0_incid,11,22,14
K0_incid,11,23,14
K0_incid,11,24,14
K0_incid,11,25,14
K0_incid,11,26,14
K0_incid,11,27,14
K0_incid,11,28,14
K0_incid,11,29,13
K0_incid,11,30,13
K0_incid,11,31,13
K0_incid,11,32,13
K0_incid,11,33,13
K0_incid,11,34,13
K0_incid,11,35,13
K0_incid,11,36,13
K0_incid,11,37,13
K0_incid,11,38,13
K0_incid,11,39,13
K0_incid,11,40,13
K0_incid,11,41,13
K0_incid,11,42,13
K0_incid,11,43,13
K0_incid,11,44,13
K0_incid,11,45,13
K0_incid,11,46,13
K0_incid,11,47,13
K0_incid,11,48,13
K0_incid,11,49,13
K0_incid,11,50,13
K0_incid,11,51,13
K0_incid,11,52,13
K0_incid,11,53,13
K0_incid,11,54,13
K0_incid,11,55,13
K0_incid,11,56,13
K0_incid,11,57,13
K0_incid,11,58,13
K0_incid,11,59,13
K0_incid,11,60,13
K0_incid,12,1,319
K0_incid,12,2,208
K0_incid,12,3,61
K0_incid,12,4,24
K0_incid,12,5,20
K0_incid,12,6,19
K0_incid,12,7,19
K0_incid,12,8,15
K0_incid,12,9,15
K0_incid,12,10,15
K0_incid,12,11,14
K0_incid,12,12,14
K0_incid,12,13,14
K0_incid,12,14,14
K0_incid,12,15,14
K0_incid,12,16,14
K0_incid,12,17,14
K0_incid,12,18,14
K0_incid,12,19,14
K0_incid,12,20,14
K0_incid,12,21,14
K0_incid,12,22,14
K0_incid,12,23,14
K0_incid,12,24,14
K0_incid,12,25,14
K0_incid,12,26,14
K0_incid,12,27,14
K0_incid,12,28,14
K0_incid,12,29,14
K0_incid,12,30,14
K0_incid,12,31,14
K0_incid,12,32,14
K0_incid,12,33,14
K0_incid,12,34,14
K0_incid,12,35,14
K0_incid,12,36,14
K0_incid,12,37,14
K0_incid,12,38,14
K0_incid,12,39,14
K0_incid,12,40,14
K0_incid,12,41,14
K0_incid,12,42,14
K0_incid,12,43,14
K0_incid,12,44,14
K0_incid,12,45,14
K0_incid,12,46,14
K0_incid,12,47,14
K0_incid,12,48,14
K0_incid,12,49,14
K0_incid,12,50,14
K0_incid,12,51,14
K0_incid,12,52,14
K0_incid,12,53,14
K0_incid,12,54,14
K0_incid,12,55,14
K0_incid,12,56,14
K0_incid,12,57,14
K0_incid,12,58,14
K0_incid,12,59,14
K0_incid,12,60,14
K0_incid,13,1,173
K0_incid,13,2,161
K0_incid,13,3,58
K0_incid,13,4,25
K0_incid,13,5,15
K0_incid,13,6,14
K0_incid,13,7,13
K0_incid,13,8,12
K0_incid,13,9,12
K0_incid,13,10,12
K0_incid,13,11,12
K0_incid,13,12,12
K0_incid,13,13,12
K0_incid,13,14,12
K0_incid,13,15,12
K0_incid,13,16,12
K0_incid,13,17,12
K0_incid,13,18,12
K0_incid,13,19,12
K0_incid,13,20,12
K0_incid,13,21,12
K0_incid,13,22,12
K0_incid,13,23,12
K0_incid,13,24,12
K0_incid,13,25,12
K0_incid,13,26,12
K0_incid,13,27,12
K0_incid,13,28,12
K0_incid,13,29,12
K0_incid,13,30,12
K0_incid,13,31,12
K0_incid,13,32,12
K0_incid,13,33,12
K0_incid,13,34,12
K0_incid,13,35,12
K0_incid,13,36,12
K0_incid,13,37,11
K0_incid,13,38,11
K0_incid,13,39,11
K0_incid,13,40,11
K0_incid,13,41,11
K0_incid,13,42,11
K0_incid,13,43,11
K0_incid,13,44,11
K0_incid,13,45,11
K0_incid,13,46,11
K0_incid,13,47,11
K0_incid,13,48,11
K0_incid,13,49,11
K0_incid,13,50,11
K0_incid,13,51,11
K0_incid,13,52,11
K0_incid,13,53,11
K0_incid,13,54,11
K0_incid,13,55,11
K0_incid,13,56,11
K0_incid,13,57,11
K0_incid,13,58,11
K0_incid,13,59,11
K0_incid,13,60,11
K0_incid,14,1,292
K0_incid,14,2,213
K0_incid,14,3,61
K0_incid,14,4,27
K0_incid,14,5,23
K0_incid,14,6,22
K0_incid,14,7,22
K0_incid,14,8,21
K0_incid,14,9,20
K0_incid,14,10,20
K0_incid,14,11,19
K0_incid,14,12,19
K0_incid,14,13,19
K0_incid,14,14,19
