folder,image,object,minor_axis,major_axis,mean_gray
K0_incid,3,18,62.1671540432911,63.215846794917496,61.3758106355
K0_incid,3,19,62.800823528516005,64.37865171695124,63.4743145288
K0_incid,4,1,64.37382456295211,65.58928008434987,56.6790346908
K0_incid,4,3,62.99622442768362,64.86056226037812,57.4136533666
K0_incid,4,6,61.83303627648106,63.28792677670337,56.366091767
K0_incid,4,7,61.773832747805876,64.56097003359002,58.1663473819
K0_incid,4,8,62.62287284469671,64.91431577483456,57.0780075188
K0_incid,4,9,62.81092171791491,64.72140344111092,55.2723284237
K0_incid,4,11,62.56447255835915,63.62104701863319,55.84512
K0_incid,4,13,62.170333155338426,63.507245524097705,54.185221039
K0_incid,4,14,0.0,0.0,51.0
K0_incid,4,15,63.26656220487404,63.71155085309577,55.0789889415
K0_incid,4,16,63.77863944637931,63.85586408438429,54.4171357098
K0_incid,4,17,63.216547772028775,64.08277661339415,56.8211254323
K0_incid,5,1,63.01157638155142,63.55591383336972,60.1288577792
K0_incid,5,2,62.996781989585486,64.63249492423711,59.1320400501
K0_incid,5,3,61.5886629491908,63.42751215255655,58.4174820613
K0_incid,5,4,62.190438035934825,63.51380421407228,59.195483871
K0_incid,5,5,61.11396716890014,62.73748851456547,56.8261881024
K0_incid,5,6,61.632369369493524,62.39326798978354,57.0994035785
K0_incid,5,7,62.30151680232424,63.5596775674937,57.6264478764
K0_incid,5,8,63.08662399289207,63.80992519097798,58.7867088608
K0_incid,5,9,62.31967741308095,63.149528089844765,57.6876011654
K0_incid,5,10,63.35080837175891,63.97121383040942,56.9107198994
K0_incid,5,11,61.028801826393476,63.729569247488755,59.6159895151
K0_incid,5,12,61.66843942068199,62.06663405561052,57.3648468708
K0_incid,5,13,62.87153253299947,63.97506628218456,56.8862844473
K0_incid,5,14,62.60626665692877,63.456410049516755,58.4900577293
K0_incid,5,15,61.75890912144563,63.320477124036934,57.6161616162
K0_incid,5,16,62.617574322259976,63.43677787088885,59.4286172602
K0_incid,6,1,62.773100804631746,64.06266590897985,56.8229892337
K0_incid,6,2,60.6679007360953,63.145435762661805,55.5724734043
K0_incid,6,4,62.48633726020365,64.16123676500173,56.4101016518
K0_incid,6,5,62.787609518167685,63.1961036589881,56.7522464698
K0_incid,6,6,62.606236280127284,63.44166967559052,57.5969862135
K0_incid,6,7,62.03681849188649,63.452367243092375,55.31252022
K0_incid,6,8,61.71395595137519,62.295296613612436,56.864524677
K0_incid,6,9,62.38028838069896,63.814662833420684,56.2933461292
K0_incid,6,10,61.94432020607211,62.76912151875744,59.1591876842
K0_incid,6,13,62.55376023541985,63.25258857254105,57.0428065658
K0_incid,6,14,62.525179444706595,63.964771426817684,58.0942675159
K0_incid,6,15,62.62266374922375,63.396023291336924,60.3176130895
K0_incid,7,2,58.8369700633715,61.566734274408695,54.95604782
K0_incid,7,3,62.94205135031839,63.8331791498734,57.3613312203
K0_incid,7,4,60.6474677544362,62.09965671694734,58.3452823808
K0_incid,7,5,62.92620156707112,64.47724372834097,58.6293157564
K0_incid,7,6,61.58964919641098,62.53823241862917,59.7012901092
K0_incid,7,7,62.52173927938025,62.949437708101634,60.3226537217
K0_incid,7,8,63.19052625456894,63.84663237148404,60.966529839
K0_incid,7,9,63.150127934001844,64.97301427329579,59.0167597765
K0_incid,7,10,62.98914592070682,63.84715969984272,60.1006966434
