,folder,image,object,minor_axis,major_axis,mean_gray
78,K0_incid,8,13,69.89599843788454,72.9723663209893,75.36304619229999
79,K0_incid,8,14,71.42976671011036,72.87797302325995,76.0259295499
80,K0_incid,8,15,73.02782637605817,73.72444864239992,75.7064806055
81,K0_incid,9,2,72.06119593487941,73.07392969652831,77.1647314949
82,K0_incid,9,3,72.46589688159878,72.63153098099606,77.06363416399999
83,K0_incid,9,4,71.99783591953465,72.44070661549517,77.3117517713
84,K0_incid,9,5,72.04932607226037,72.5913414313523,75.5753591429
85,K0_incid,9,6,71.60891339111805,72.26088327482722,73.22889490520001
86,K0_incid,9,7,71.6366510494543,72.52525201275567,75.8470588235
87,K0_incid,9,8,71.95021889435004,72.33745820999609,72.521654025
88,K0_incid,9,10,71.19708918060613,72.55448134792745,73.2850098619
89,K0_incid,9,13,72.00414561263726,72.24788774713767,73.5343941248
90,K0_incid,10,1,73.12914211222103,73.85340353617256,68.8809243103
91,K0_incid,10,2,71.58701212677903,73.8504268322509,67.3574181118
92,K0_incid,10,3,73.06565644660091,73.41271857573219,69.0626780627
93,K0_incid,10,4,72.73355578811515,72.9839254731614,69.42490403069999
94,K0_incid,10,5,72.96514583289121,73.9851351255377,70.2899268695
95,K0_incid,10,6,72.82428527689231,73.72104756413114,69.7632827324
96,K0_incid,10,7,72.39961485932952,73.32796730245177,68.028064284
97,K0_incid,10,8,71.85824879379794,72.09203383292775,69.8598820059
98,K0_incid,10,9,71.63299763663456,72.3528046395209,68.5788697789
99,K0_incid,10,10,72.26428908201844,72.53304534522199,70.5672983479
100,K0_incid,10,11,73.67161418428901,74.76837995781356,71.7766473988
101,K0_incid,10,12,72.86660214045091,73.84338778374814,70.5824852071
102,K0_incid,11,2,71.93547675252923,73.06320928880947,68.56166707050001
103,K0_incid,11,4,72.02864069572138,72.4282740180845,67.5796924579
104,K0_incid,11,5,72.58198554623284,73.04434187763474,68.4090799904
105,K0_incid,11,6,72.16543518502013,73.05490761091968,67.3147342995
106,K0_incid,11,7,70.97642848155883,72.87335777948311,67.6174513187
107,K0_incid,11,8,71.02644204048094,72.29436955838338,67.95411706350001
108,K0_incid,11,11,72.11924777259176,73.54858561423195,67.4954370797
109,K0_incid,11,12,71.23738255284094,72.85099997231565,66.8522699387
110,K0_incid,11,13,71.51484511097881,73.01681471383046,67.2112195122
111,K0_incid,11,14,70.86041665792483,73.3450912027868,66.4031862745
112,K0_incid,11,15,71.36682770133828,71.81612430139344,67.42306736270001
113,K0_incid,12,3,72.15294116282577,73.74166324954912,69.1416945907
114,K0_incid,12,4,71.47326928468334,73.69891492875891,69.127417795
115,K0_incid,12,5,72.00446774518589,73.34997513473758,68.6238244514
116,K0_incid,12,6,71.70944585531055,72.3822715610019,69.8910696762
117,K0_incid,12,7,70.34859567076299,73.29082912944901,70.1792007942
118,K0_incid,12,8,71.37194187975156,73.04847251258444,68.5390815828
119,K0_incid,12,9,71.27695802380815,72.35514297346585,68.9649382716
120,K0_incid,12,10,72.43499647257364,73.60491254537807,67.4457716197
121,K0_incid,12,11,71.93106590638969,72.81895828396719,69.366399222
122,K0_incid,12,12,72.55632704476612,72.96284902307191,70.0052922781
123,K0_incid,12,15,71.6147521130051,74.14342376046258,69.6655454109
124,K0_incid,13,1,72.1954051910689,73.54152950002582,72.54918426100001
125,K0_incid,13,2,72.46539572579803,73.09552821884455,72.3783068783
126,K0_incid,13,3,73.17184941915374,73.80827400230335,70.7072422741
127,K0_incid,13,4,72.64465535086059,73.80873450715757,71.1326360827
128,K0_incid,13,5,72.33263101843848,73.20271977713527,70.7560153994
129,K0_incid,13,6,71.47565135144093,72.1993676689667,70.4095285115
130,K0_incid,13,7,72.11037457446173,73.62012362588769,69.1524609844
