folder,image,initial_radius,delta_radius,auto_withborder,auto_noborder
K0_incid,4,15,12,19,13
K0_incid,4,15,14,18,13
K0_incid,4,15,16,18,13
K0_incid,4,15,18,17,13
K0_incid,4,15,20,19,15
K0_incid,4,20,2,19,15
K0_incid,4,20,4,18,14
K0_incid,4,20,6,17,13
K0_incid,4,20,8,18,14
K0_incid,4,20,10,17,13
K0_incid,4,20,12,17,13
K0_incid,4,20,14,19,15
K0_incid,4,20,16,18,14
K0_incid,4,20,18,16,12
K0_incid,4,20,20,16,12
K0_incid,4,25,2,20,15
K0_incid,4,25,4,17,13
K0_incid,4,25,6,17,13
K0_incid,4,25,8,17,13
K0_incid,4,25,10,19,15
K0_incid,4,25,12,16,12
K0_incid,4,25,14,16,12
K0_incid,4,25,16,16,12
K0_incid,4,25,18,16,12
K0_incid,4,25,20,16,12
K0_incid,4,30,2,19,15
K0_incid,4,30,4,19,15
K0_incid,4,30,6,18,14
K0_incid,4,30,8,17,13
K0_incid,4,30,10,17,13
K0_incid,4,30,12,17,13
K0_incid,4,30,14,17,13
K0_incid,4,30,16,17,13
K0_incid,4,30,18,17,13
K0_incid,4,30,20,17,13
K0_incid,4,35,2,15,14
K0_incid,4,35,4,15,14
K0_incid,4,35,6,15,14
K0_incid,4,35,8,15,14
K0_incid,4,35,10,15,14
K0_incid,4,35,12,15,14
K0_incid,4,35,14,15,14
K0_incid,4,35,16,15,14
K0_incid,4,35,18,15,14
K0_incid,4,35,20,15,14
K0_incid,4,40,2,0,0
K0_incid,4,40,4,0,0
K0_incid,4,40,6,0,0
K0_incid,4,40,8,0,0
K0_incid,4,40,10,0,0
K0_incid,4,40,12,0,0
K0_incid,4,40,14,0,0
K0_incid,4,40,16,0,0
K0_incid,4,40,18,0,0
K0_incid,4,40,20,0,0
K0_incid,5,5,2,27,18
K0_incid,5,5,4,23,16
K0_incid,5,5,6,21,18
K0_incid,5,5,8,20,14
K0_incid,5,5,10,21,14
K0_incid,5,5,12,19,13
K0_incid,5,5,14,21,13
K0_incid,5,5,16,20,14
K0_incid,5,5,18,19,13
K0_incid,5,5,20,19,12
K0_incid,5,10,2,27,19
K0_incid,5,10,4,25,17
K0_incid,5,10,6,25,18
K0_incid,5,10,8,23,16
K0_incid,5,10,10,18,13
K0_incid,5,10,12,23,16
K0_incid,5,10,14,18,13
K0_incid,5,10,16,17,12
K0_incid,5,10,18,17,12
K0_incid,5,10,20,17,12
K0_incid,5,15,2,26,18
K0_incid,5,15,4,22,16
K0_incid,5,15,6,21,14
K0_incid,5,15,8,18,13
K0_incid,5,15,10,20,14
K0_incid,5,15,12,17,12
K0_incid,5,15,14,17,12
K0_incid,5,15,16,17,12
K0_incid,5,15,18,19,12
K0_incid,5,15,20,18,13
K0_incid,5,20,2,23,16
K0_incid,5,20,4,20,15
K0_incid,5,20,6,18,13
K0_incid,5,20,8,20,15
K0_incid,5,20,10,18,13
K0_incid,5,20,12,18,13
K0_incid,5,20,14,23,16
K0_incid,5,20,16,20,15
K0_incid,5,20,18,18,13
K0_incid,5,20,20,18,13
K0_incid,5,25,2,22,14
K0_incid,5,25,4,20,12
K0_incid,5,25,6,18,12
K0_incid,5,25,8,20,12
K0_incid,5,25,10,20,14
K0_incid,5,25,12,18,12
K0_incid,5,25,14,18,12
K0_incid,5,25,16,18,12
K0_incid,5,25,18,18,12
K0_incid,5,25,20,18,12
K0_incid,5,30,2,21,15
K0_incid,5,30,4,21,15
K0_incid,5,30,6,18,14
K0_incid,5,30,8,16,12
K0_incid,5,30,10,16,12
K0_incid,5,30,12,16,12
K0_incid,5,30,14,16,12
K0_incid,5,30,16,16,12
K0_incid,5,30,18,16,12
K0_incid,5,30,20,16,12
K0_incid,5,35,2,12,10
K0_incid,5,35,4,12,10
K0_incid,5,35,6,12,10
K0_incid,5,35,8,12,10
K0_incid,5,35,10,12,10
K0_incid,5,35,12,12,10
K0_incid,5,35,14,12,10
K0_incid,5,35,16,12,10
K0_incid,5,35,18,12,10
K0_incid,5,35,20,12,10
K0_incid,5,40,2,0,0
K0_incid,5,40,4,0,0
K0_incid,5,40,6,0,0
K0_incid,5,40,8,0,0
K0_incid,5,40,10,0,0
K0_incid,5,40,12,0,0
K0_incid,5,40,14,0,0
K0_incid,5,40,16,0,0
