,folder,image,object,minor_axis,major_axis,mean_gray
44,K0_incid,4,15,63.26656220487404,63.71155085309577,55.07898894149999
45,K0_incid,4,17,63.77863944637931,63.85586408438429,54.41713570979999
46,K0_incid,4,18,63.21654777202878,64.08277661339415,56.82112543229999
47,K0_incid,4,19,62.994060561421264,64.15721910980497,55.225969114399994
48,K0_incid,5,4,63.01157638155142,63.55591383336972,60.128857779200004
49,K0_incid,5,6,62.99678198958549,64.63249492423711,59.1320400501
50,K0_incid,5,7,61.5886629491908,63.427512152556545,58.4174820613
51,K0_incid,5,9,62.19043803593482,63.51380421407229,59.195483871
52,K0_incid,5,10,61.11396716890014,62.73748851456547,56.826188102399996
53,K0_incid,5,12,61.632369369493524,62.39326798978354,57.0994035785
54,K0_incid,5,13,62.30151680232424,63.55967756749371,57.6264478764
55,K0_incid,5,14,63.08662399289207,63.80992519097797,58.7867088608
56,K0_incid,5,15,62.31967741308095,63.14952808984477,57.6876011654
57,K0_incid,5,16,63.35080837175891,63.971213830409425,56.91071989939999
58,K0_incid,5,17,61.02880182639348,63.729569247488755,59.615989515100004
59,K0_incid,5,18,61.66843942068199,62.06663405561052,57.3648468708
60,K0_incid,5,19,62.87153253299947,63.975066282184564,56.88628444729999
61,K0_incid,5,20,62.606266656928774,63.456410049516755,58.490057729300005
62,K0_incid,5,22,61.75890912144564,63.320477124036934,57.616161616199996
63,K0_incid,5,24,62.617574322259976,63.436777870888854,59.42861726020001
64,K0_incid,6,3,62.773100804631746,64.06266590897985,56.8229892337
65,K0_incid,6,4,60.6679007360953,63.14543576266181,55.572473404300005
66,K0_incid,6,6,62.48633726020365,64.16123676500173,56.410101651800005
67,K0_incid,6,7,62.787609518167685,63.1961036589881,56.75224646979999
68,K0_incid,6,8,62.60623628012728,63.441669675590525,57.5969862135
69,K0_incid,6,9,62.03681849188649,63.45236724309238,55.31252022
70,K0_incid,6,10,61.71395595137519,62.29529661361244,56.864524677
71,K0_incid,6,11,62.38028838069896,63.814662833420684,56.2933461292
72,K0_incid,6,13,61.94432020607211,62.76912151875744,59.1591876842
73,K0_incid,6,16,62.55376023541986,63.25258857254104,57.0428065658
74,K0_incid,6,17,62.5251794447066,63.964771426817684,58.0942675159
75,K0_incid,6,18,62.62266374922375,63.396023291336924,60.3176130895
76,K0_incid,7,3,64.06492965324053,64.48388810358183,57.6016034536
78,K0_incid,7,8,62.942051350318394,63.8331791498734,57.361331220299995
79,K0_incid,7,9,60.64746775443621,62.099656716947344,58.3452823808
80,K0_incid,7,10,62.92620156707111,64.47724372834097,58.629315756400004
81,K0_incid,7,11,61.58964919641098,62.53823241862917,59.7012901092
82,K0_incid,7,12,62.521739279380256,62.949437708101634,60.3226537217
83,K0_incid,7,14,63.19052625456894,63.84663237148404,60.966529838999996
84,K0_incid,7,15,63.150127934001844,64.97301427329579,59.016759776499995
85,K0_incid,7,16,62.98914592070682,63.84715969984272,60.1006966434
86,K0_incid,7,17,62.422580598807706,63.98133582885835,62.6274322169
87,K0_incid,7,18,62.55638548133098,63.32337158355073,61.0569131833
88,K0_incid,7,19,63.101805786600075,65.3297650978289,58.8665430955
89,K0_incid,7,20,62.65498401788145,65.40402647418821,59.8530142946
90,K0_incid,8,2,63.472221832174995,64.8276084940786,56.3806870938
