folder,image,initial_radius,delta_radius,auto_count
K0_incid,5,40,16,0
K0_incid,5,40,18,0
K0_incid,5,40,20,0
K0_incid,6,5,2,21
K0_incid,6,5,4,20
K0_incid,6,5,6,20
K0_incid,6,5,8,20
K0_incid,6,5,10,18
K0_incid,6,5,12,19
K0_incid,6,5,14,19
K0_incid,6,5,16,19
K0_incid,6,5,18,19
K0_incid,6,5,20,18
K0_incid,6,10,2,21
K0_incid,6,10,4,19
K0_incid,6,10,6,21
K0_incid,6,10,8,17
K0_incid,6,10,10,18
K0_incid,6,10,12,18
K0_incid,6,10,14,17
K0_incid,6,10,16,17
K0_incid,6,10,18,20
K0_incid,6,10,20,18
K0_incid,6,15,2,19
K0_incid,6,15,4,18
K0_incid,6,15,6,18
K0_incid,6,15,8,18
K0_incid,6,15,10,16
K0_incid,6,15,12,16
K0_incid,6,15,14,17
K0_incid,6,15,16,17
K0_incid,6,15,18,17
K0_incid,6,15,20,15
K0_incid,6,20,2,19
K0_incid,6,20,4,18
K0_incid,6,20,6,16
K0_incid,6,20,8,18
K0_incid,6,20,10,16
K0_incid,6,20,12,16
K0_incid,6,20,14,15
K0_incid,6,20,16,15
K0_incid,6,20,18,15
K0_incid,6,20,20,15
K0_incid,6,25,2,16
K0_incid,6,25,4,16
K0_incid,6,25,6,16
K0_incid,6,25,8,16
K0_incid,6,25,10,15
K0_incid,6,25,12,15
K0_incid,6,25,14,15
K0_incid,6,25,16,15
K0_incid,6,25,18,15
K0_incid,6,25,20,15
K0_incid,6,30,2,16
K0_incid,6,30,4,16
K0_incid,6,30,6,16
K0_incid,6,30,8,16
K0_incid,6,30,10,16
K0_incid,6,30,12,16
K0_incid,6,30,14,16
K0_incid,6,30,16,16
K0_incid,6,30,18,16
K0_incid,6,30,20,16
K0_incid,6,35,2,12
K0_incid,6,35,4,12
K0_incid,6,35,6,12
K0_incid,6,35,8,12
K0_incid,6,35,10,12
K0_incid,6,35,12,12
K0_incid,6,35,14,12
K0_incid,6,35,16,12
K0_incid,6,35,18,12
K0_incid,6,35,20,12
K0_incid,6,40,2,0
K0_incid,6,40,4,0
K0_incid,6,40,6,0
K0_incid,6,40,8,0
K0_incid,6,40,10,0
K0_incid,6,40,12,0
K0_incid,6,40,14,0
K0_incid,6,40,16,0
K0_incid,6,40,18,0
K0_incid,6,40,20,0
K0_incid,7,5,2,23
K0_incid,7,5,4,23
K0_incid,7,5,6,22
K0_incid,7,5,8,22
K0_incid,7,5,10,22
K0_incid,7,5,12,22
K0_incid,7,5,14,23
K0_incid,7,5,16,21
K0_incid,7,5,18,21
K0_incid,7,5,20,21
K0_incid,7,10,2,23
K0_incid,7,10,4,23
K0_incid,7,10,6,23
K0_incid,7,10,8,23
K0_incid,7,10,10,22
K0_incid,7,10,12,23
K0_incid,7,10,14,21
K0_incid,7,10,16,22
K0_incid,7,10,18,22
K0_incid,7,10,20,21
K0_incid,7,15,2,22
K0_incid,7,15,4,22
K0_incid,7,15,6,22
K0_incid,7,15,8,22
K0_incid,7,15,10,21
K0_incid,7,15,12,21
K0_incid,7,15,14,21
K0_incid,7,15,16,22
K0_incid,7,15,18,22
K0_incid,7,15,20,21
K0_incid,7,20,2,20
K0_incid,7,20,4,20
K0_incid,7,20,6,20
K0_incid,7,20,8,19
K0_incid,7,20,10,19
K0_incid,7,20,12,20
K0_incid,7,20,14,20
K0_incid,7,20,16,18
K0_incid,7,20,18,18
K0_incid,7,20,20,18
K0_incid,7,25,2,20
K0_incid,7,25,4,20
K0_incid,7,25,6,20
K0_incid,7,25,8,20
K0_incid,7,25,10,19
