folder,image,object,minor_axis,major_axis,mean_gray
K0_incid,9,7,0.0,0.0,139.0
K0_incid,9,9,72.04932607226037,72.59134143135232,75.5753591429
K0_incid,9,11,71.60891339111804,72.26088327482722,73.2288949052
K0_incid,9,12,71.63665104945429,72.52525201275567,75.8470588235
K0_incid,9,13,71.95021889435004,72.3374582099961,72.521654025
K0_incid,9,15,71.19708918060613,72.55448134792745,73.2850098619
K0_incid,9,18,72.00414561263725,72.24788774713767,73.5343941248
K0_incid,10,4,73.12914211222103,73.85340353617256,68.8809243103
K0_incid,10,5,71.58701212677903,73.8504268322509,67.3574181118
K0_incid,10,6,73.0656564466009,73.41271857573219,69.0626780627
K0_incid,10,7,72.73355578811515,72.9839254731614,69.4249040307
K0_incid,10,8,72.9651458328912,73.9851351255377,70.2899268695
K0_incid,10,10,72.82428527689231,73.72104756413114,69.7632827324
K0_incid,10,11,72.39961485932952,73.32796730245177,68.028064284
K0_incid,10,12,71.85824879379794,72.09203383292775,69.8598820059
K0_incid,10,13,71.63299763663456,72.35280463952091,68.5788697789
K0_incid,10,14,72.26428908201844,72.53304534522198,70.5672983479
K0_incid,10,16,73.67161418428901,74.76837995781356,71.7766473988
K0_incid,10,17,72.8666021404509,73.84338778374814,70.5824852071
K0_incid,11,4,0.0,0.0,92.0
K0_incid,11,5,71.93547675252924,73.06320928880949,68.5616670705
K0_incid,11,6,72.02864069572138,72.42827401808448,67.5796924579
K0_incid,11,7,72.58198554623284,73.04434187763474,68.4090799904
K0_incid,11,8,72.16543518502012,73.05490761091968,67.3147342995
K0_incid,11,9,70.97642848155883,72.87335777948311,67.6174513187
K0_incid,11,11,71.02644204048094,72.29436955838337,67.9541170635
K0_incid,11,14,72.11924777259176,73.54858561423195,67.4954370797
K0_incid,11,15,71.23738255284093,72.85099997231565,66.8522699387
K0_incid,11,16,71.51484511097881,73.01681471383046,67.2112195122
K0_incid,11,18,70.86041665792483,73.3450912027868,66.4031862745
K0_incid,11,19,71.36682770133828,71.81612430139343,67.4230673627
K0_incid,12,3,72.15294116282577,73.74166324954912,69.1416945907
K0_incid,12,4,71.47326928468334,73.69891492875891,69.127417795
K0_incid,12,5,72.00446774518589,73.34997513473758,68.6238244514
K0_incid,12,6,71.70944585531055,72.38227156100191,69.8910696762
K0_incid,12,7,70.348595670763,73.29082912944901,70.1792007942
K0_incid,12,8,71.37194187975157,73.04847251258444,68.5390815828
K0_incid,12,9,71.27695802380815,72.35514297346585,68.9649382716
K0_incid,12,11,72.43499647257364,73.60491254537808,67.4457716197
K0_incid,12,12,71.93106590638968,72.81895828396719,69.366399222
K0_incid,12,15,72.55632704476612,72.9628490230719,70.0052922781
K0_incid,12,20,71.6147521130051,74.14342376046258,69.6655454109
K0_incid,12,21,72.26022585320868,73.1585794237488,70.0535068691
K0_incid,13,2,72.19540519106891,73.54152950002582,72.549184261
K0_incid,13,3,72.46539572579803,73.09552821884454,72.3783068783
K0_incid,13,4,73.17184941915374,73.80827400230335,70.7072422741
K0_incid,13,5,72.62576839092397,73.81001923924427,71.1212553495
K0_incid,13,6,72.33263101843848,73.20271977713527,70.7560153994
K0_incid,13,7,71.47565135144092,72.1993676689667,70.4095285115
K0_incid,13,10,72.03824175260195,73.64176103957894,69.1143680923
K0_incid,13,11,0.0,0.0,122.0
K0_incid,13,12,0.0,0.0,119.0
K0_incid,13,14,72.93748401808098,73.3508909543504,70.2919047619
K0_incid,13,19,72.77341193487091,73.49883248139078,69.3634198619
K0_incid,13,20,73.12336172276942,73.46860816233261,69.9935973441
K0_incid,13,21,72.23821930364221,72.618352429354,69.6006801069
K0_incid,14,5,70.52741520068767,73.00140905524849,69.4971555775
K0_incid,14,6,72.27090727925025,72.69035269804658,70.5995151515
K0_incid,14,7,71.14904441754126,73.3100117735211,69.529296875
K0_incid,14,8,71.00127343028672,72.13206026011291,69.0778219791
K0_incid,14,9,72.04543765714308,72.34480188966702,70.396042023
K0_incid,14,10,72.04977747560231,73.690562375299,68.7486207724
K0_incid,14,12,72.25483637247623,73.1816834932896,69.325867052
K0_incid,14,13,72.05936779998416,72.48948240764616,70.3365032919
K0_incid,14,14,71.69622312091354,73.49747733424054,69.3093281779
K0_incid,14,15,71.05039691674347,72.5755522775663,69.7925413682
K0_incid,14,16,72.44892824022499,72.67769248204192,69.8268440145
K0_incid,14,17,72.37928320660488,73.48224341320115,70.4161877395
K0_incid,14,19,72.22207339974202,74.90499782034107,75.0458628842
K0_incid,14,20,69.54484072240814,72.41910938228378,67.6986336032
K0_incid,15,2,71.00994530850156,73.70389681288054,67.704379562
K0_incid,15,7,70.96830831934894,72.31815243105284,68.552853598
K0_incid,15,9,0.0,0.0,67.0
K0_incid,15,10,0.0,0.0,62.0
K0_incid,15,11,73.02071173497454,73.32794498247496,69.555529132
K0_incid,15,12,72.47429683990856,73.11903915334017,70.4566210046
K0_incid,15,13,72.1483641380535,72.73654254038912,70.3819461296
K0_incid,15,14,72.10547269889108,72.72839800921491,69.5721223895
K0_incid,15,15,72.07070672753585,72.44189621738133,69.842195122
K0_incid,15,16,79.7280302655463,81.05973241072948,67.1138916256
K0_incid,15,17,72.29291325443073,73.25162660692791,70.2946127946
K0_incid,15,19,71.9944366765989,72.73630773819724,72.0977626459
K0_incid,15,21,72.42068961715276,73.17510913099,70.1353040135
K0_incid,16,3,71.62962402228858,72.98151731727332,69.227771011
K0_incid,16,5,72.1248898995376,72.26663430822703,70.0422672856
K0_incid,16,7,72.71035496503804,73.19082941782065,70.3372426999
K0_incid,16,8,72.69956514964638,74.1665487051473,70.7812942844
K0_incid,16,10,71.89896907652185,72.58924591415945,69.6132259639
K0_incid,16,13,0.0,0.0,111.0
K0_incid,16,14,71.84890600730446,72.33684797150525,70.1242951704
K0_incid,16,15,72.63384692127663,72.9788942122167,70.5470927439
K0_incid,16,16,72.50252226674183,72.94105173263657,70.9857934024
K0_incid,16,18,72.48210802898895,73.49824305993873,70.7535261774
K0_incid,16,19,73.67148306300827,74.26926921493104,71.4896342884
K0_incid,16,22,0.0,0.0,132.0
K0_incid,16,23,72.11810233062579,73.46155186768085,68.908543923
K0_incid,16,24,0.0,0.0,118.0
K0_incid,16,25,72.40180272631233,73.78131201331884,70.9594755662
K0_incid,16,26,72.13804628784243,73.22849958408955,70.176513142
K0_incid,17,6,72.38018510028895,73.20744607425789,70.3052150925
K0_incid,17,7,72.32170886760214,73.07730786999649,71.0204819277
K0_incid,17,12,71.90483476433182,72.09417462234754,71.8133136821
K0_incid,17,13,71.80231862141152,73.69150130353974,69.6996389892
K0_incid,17,14,72.15313667149556,72.99652348198424,70.4434235977
K0_incid,17,15,71.87826986284679,73.04846718501132,69.5309240844
K0_incid,17,16,72.6211819964407,73.50511276394319,69.695610687
K0_incid,17,17,71.80809577754903,72.59761245314337,70.5786516854
K0_incid,17,18,72.48511682001335,73.08138987867136,71.3171435441
K0_incid,17,19,72.85783618125359,73.727316701977,69.6514935989
K0_incid,17,20,72.52177846698052,73.75250709543035,70.1092857143
K0_incid,17,21,72.87962498406175,73.64952088175596,70.2804270463
K0_incid,17,22,71.92130770258413,73.63967526901172,70.8747295023
K0_incid,18,7,72.75620131571446,73.3925483382001,73.4710231338
