image,initial_radius,delta_radius,auto_withborder,auto_noborder
8,20,14,37,35
8,20,16,37,35
8,20,18,37,35
8,20,20,37,35
8,25,2,15,14
8,25,4,15,14
8,25,6,15,14
8,25,8,15,14
8,25,10,15,14
8,25,12,15,14
8,25,14,15,14
8,25,16,15,14
8,25,18,15,14
8,25,20,15,14
8,30,2,1,1
8,30,4,1,1
8,30,6,1,1
8,30,8,1,1
8,30,10,1,1
8,30,12,1,1
8,30,14,1,1
8,30,16,1,1
8,30,18,1,1
8,30,20,1,1
8,35,2,0,0
8,35,4,0,0
8,35,6,0,0
8,35,8,0,0
8,35,10,0,0
8,35,12,0,0
8,35,14,0,0
8,35,16,0,0
8,35,18,0,0
8,35,20,0,0
8,40,2,0,0
8,40,4,0,0
8,40,6,0,0
8,40,8,0,0
8,40,10,0,0
8,40,12,0,0
8,40,14,0,0
8,40,16,0,0
8,40,18,0,0
8,40,20,0,0
9,5,2,61,46
9,5,4,55,41
9,5,6,52,38
9,5,8,54,41
9,5,10,51,37
9,5,12,49,36
9,5,14,51,38
9,5,16,53,40
9,5,18,48,35
9,5,20,48,35
9,10,2,56,40
9,10,4,48,36
9,10,6,46,33
9,10,8,46,34
9,10,10,44,32
9,10,12,45,33
9,10,14,44,32
9,10,16,45,33
9,10,18,44,32
9,10,20,44,32
9,15,2,50,40
9,15,4,45,35
9,15,6,44,34
9,15,8,43,33
9,15,10,42,32
9,15,12,42,32
9,15,14,41,31
9,15,16,42,32
9,15,18,41,31
9,15,20,41,31
9,20,2,41,34
9,20,4,39,32
9,20,6,39,32
9,20,8,38,31
9,20,10,36,29
9,20,12,37,30
9,20,14,36,29
9,20,16,38,31
9,20,18,36,29
9,20,20,35,28
9,25,2,38,32
9,25,4,36,30
9,25,6,36,30
9,25,8,32,26
9,25,10,32,26
9,25,12,34,28
9,25,14,31,25
9,25,16,30,24
9,25,18,30,24
9,25,20,30,24
9,30,2,31,27
9,30,4,29,25
9,30,6,30,26
9,30,8,29,25
9,30,10,28,24
9,30,12,28,24
9,30,14,28,24
9,30,16,28,24
9,30,18,28,24
9,30,20,28,24
9,35,2,25,22
9,35,4,22,19
9,35,6,21,18
9,35,8,21,18
9,35,10,21,18
9,35,12,21,18
9,35,14,21,18
9,35,16,21,18
9,35,18,21,18
9,35,20,21,18
9,40,2,9,9
9,40,4,9,9
9,40,6,9,9
9,40,8,9,9
9,40,10,9,9
9,40,12,9,9
9,40,14,9,9
9,40,16,9,9
9,40,18,9,9
9,40,20,9,9
10,5,2,58,50
10,5,4,48,40
10,5,6,45,38
10,5,8,44,37
10,5,10,43,36
10,5,12,38,31
10,5,14,41,34
10,5,16,40,33
10,5,18,38,31
10,5,20,36,29
10,10,2,43,39
10,10,4,39,35
10,10,6,36,32
10,10,8,38,34
10,10,10,38,34
10,10,12,35,31
10,10,14,36,32
10,10,16,33,29
10,10,18,34,30
10,10,20,35,31
10,15,2,45,43
10,15,4,42,40
10,15,6,37,35
10,15,8,37,34
10,15,10,38,35
10,15,12,34,32
10,15,14,34,31
10,15,16,35,32
10,15,18,35,32
10,15,20,38,35
10,20,2,39,36
10,20,4,37,34
10,20,6,35,32
10,20,8,35,32
10,20,10,36,33
10,20,12,35,32
10,20,14,36,33
10,20,16,35,32
10,20,18,35,32
10,20,20,34,31
10,25,2,35,34
10,25,4,30,28
10,25,6,29,27
10,25,8,30,28
10,25,10,33,31
10,25,12,29,27
10,25,14,29,27
10,25,16,28,26
10,25,18,28,26
10,25,20,28,26
10,30,2,28,27
10,30,4,28,27
10,30,6,27,26
10,30,8,27,26
10,30,10,27,26
10,30,12,27,26
10,30,14,27,26
10,30,16,27,26
10,30,18,27,26
10,30,20,27,26
10,35,2,29,28
10,35,4,29,28
10,35,6,29,28
10,35,8,28,27
10,35,10,28,27
10,35,12,29,28
10,35,14,28,27
10,35,16,28,27
10,35,18,28,27
10,35,20,28,27
10,40,2,14,13
10,40,4,14,13
10,40,6,14,13
10,40,8,14,13
10,40,10,14,13
10,40,12,14,13
10,40,14,14,13
10,40,16,14,13
10,40,18,14,13
10,40,20,14,13
11,5,2,52,34
11,5,4,45,29
11,5,6,41,27
11,5,8,42,29
11,5,10,41,27
11,5,12,41,27
11,5,14,40,27
11,5,16,39,27
11,5,18,39,27
11,5,20,39,27
11,10,2,41,31
11,10,4,40,29
11,10,6,37,26
11,10,8,36,25
11,10,10,35,25
11,10,12,35,26
11,10,14,34,25
11,10,16,35,25
11,10,18,35,25
11,10,20,35,25
11,15,2,36,24
11,15,4,36,24
11,15,6,36,24
11,15,8,34,24
11,15,10,34,24
11,15,12,36,24
11,15,14,35,24
11,15,16,34,24
11,15,18,34,24
11,15,20,34,24
11,20,2,28,23
11,20,4,27,22
11,20,6,27,22
11,20,8,27,22
11,20,10,27,22
11,20,12,26,22
11,20,14,26,22
11,20,16,26,22
11,20,18,26,22
11,20,20,26,22
11,25,2,25,20
11,25,4,24,20
11,25,6,23,20
11,25,8,23,20
11,25,10,23,20
11,25,12,23,20
11,25,14,23,20
11,25,16,23,20
11,25,18,23,20
11,25,20,23,20
11,30,2,19,16
11,30,4,19,16
11,30,6,19,16
11,30,8,19,16
11,30,10,19,16
11,30,12,19,16
11,30,14,19,16
11,30,16,19,16
11,30,18,19,16
11,30,20,19,16
11,35,2,14,13
11,35,4,14,13
11,35,6,14,13
11,35,8,14,13
11,35,10,14,13
11,35,12,14,13
11,35,14,14,13
11,35,16,14,13
11,35,18,14,13
11,35,20,14,13
11,40,2,9,9
11,40,4,9,9
11,40,6,9,9
11,40,8,9,9
11,40,10,9,9
11,40,12,9,9
11,40,14,9,9
11,40,16,9,9
11,40,18,9,9
11,40,20,9,9
12,5,2,56,47
12,5,4,48,39
12,5,6,43,34
12,5,8,41,33
12,5,10,40,32
12,5,12,40,31
12,5,14,40,32
12,5,16,41,33
12,5,18,38,30
12,5,20,38,30
12,10,2,39,33
12,10,4,37,32
12,10,6,38,32
12,10,8,35,30
12,10,10,37,31
12,10,12,36,30
12,10,14,36,30
12,10,16,34,28
12,10,18,35,29
12,10,20,35,29
12,15,2,39,33
12,15,4,36,31
12,15,6,37,32
12,15,8,35,29
12,15,10,33,27
12,15,12,34,29
12,15,14,32,26
12,15,16,33,27
12,15,18,33,27
12,15,20,32,26
12,20,2,31,27
12,20,4,31,27
12,20,6,30,26
12,20,8,30,26
12,20,10,31,27
12,20,12,30,26
12,20,14,30,26
12,20,16,30,26
12,20,18,30,26
12,20,20,31,27
12,25,2,30,29
12,25,4,27,25
12,25,6,27,25
12,25,8,27,25
12,25,10,26,24
12,25,12,26,24
12,25,14,27,25
12,25,16,25,23
12,25,18,25,23
12,25,20,25,23
12,30,2,24,22
12,30,4,23,21
12,30,6,23,21
12,30,8,23,21
12,30,10,24,22
12,30,12,23,21
12,30,14,23,21
12,30,16,23,21
12,30,18,23,21
12,30,20,23,21
12,35,2,19,18
12,35,4,19,18
12,35,6,18,17
12,35,8,18,17
12,35,10,18,17
12,35,12,18,17
12,35,14,18,17
12,35,16,18,17
12,35,18,18,17
12,35,20,18,17
12,40,2,10,10
12,40,4,10,10
12,40,6,10,10
12,40,8,10,10
12,40,10,10,10
12,40,12,10,10
12,40,14,10,10
12,40,16,10,10
12,40,18,10,10
12,40,20,10,10
13,5,2,47,37
13,5,4,40,30
