Id,Label,isseed,seedrank,publishedat,duration,channeltitle,channelid,videocategorylabel,viewcount,likecount,dislikecount,dislikelikeratio,favoritecount,commentcount,componentnumber,hasmisinformation,misinformationcode,brandad
4a44xhw-u9g,SURTO DE SARAMPO. Veja se você precisa se vacinar,no,,1563808792,00:22:19,Morning Show,UC-wcdrzucnlKGBjyEUaEWaQ,News & Politics,22211,814,152,0.186732,0,330,0,N,,Lidl; Geolocalisation Vehicules; SNCF; Lidl
UJbKtUj8Nxw,Calendário de Vacinação nos Primeiros Meses do Bebê | Clínica Pró Imune,no,,1476923295,00:05:07,Cinemátika Filmes - Produtora de Vídeo,UC4aOaBcNPsZlSREx0p71jeA,Science & Technology,21587,435,24,0.055172,0,11,0,N,,
CK_cRiQq1Q4,Entenda quais são os sintomas do sarampo e quem deve ser vacinado,no,,1532345732,00:03:03,Jovem Pan News,UCP391YRAjSOdM_bwievgaZA,News & Politics,21474,303,19,0.062706,0,10,0,N,,NYX; Aptamil
MDLmi-gj5hs,LULA vetou em 2010 vacina para meningite  doença que matou seu Neto,no,,1551527398,00:01:37,Canal Monarquia Livre,UCPkousjreAFvcwhywDmIzIQ,News & Politics,21198,492,115,0.23374,0,168,0,N,,
sI0_lbQnvBA,Campanha de vacinação contra gripe é prorrogada,no,,1529017697,00:02:45,TV Canção Nova,UCVrKQMmA2ew9LFzeIDaOFgw,Entertainment,20668,114,26,0.22807,0,0,0,N,,
SCApZjL6i8w,Mitos e Verdades: Vacinação Contra o Influenza - Você Bonita (23/04/18),no,,1524511179,00:24:34,Você Bonita,UCxucJ9P3mLMneYypLZYn2uw,Howto & Style,19676,477,30,0.062893,0,51,0,N,,BoxaGrippal; Renault
wJiCAxA_OFs,VACINAS QUE A GESTANTE PRECISA TOMAR | Gravidez,no,,1552496408,00:05:12,Almanaque dos Pais,UCy7oVBYY0FGXeeJpy6ITXxQ,People & Blogs,19383,1827,22,0.012042,0,159,0,N,,Elevit; Cosmoprof
xMGVuUg_MJ4,Vacina contra o sarampo - Mulheres (18/07/19),no,,1563484909,00:19:49,Mulheres,UCDtVoSwSwQgwhcC89Nlz5Vg,Entertainment,19232,295,21,0.071186,0,62,0,N,,
WD3rOXk7xHI,HOUSE TEMPORADA 1  EP 2 - VACINA....,no,,1495640333,00:01:31,MELHORES CENAS DO CINEMA,UC9z9JemVpHB7BJtXjESAsOw,People & Blogs,19226,268,4,0.014925,0,4,0,N,,Nestle
uM0B60DEdPY,Gripe: Antibióticos X Vacinas | Dra Ana Escobar,no,,1460467454,00:00:56,Dra Ana Escobar,UCKtJs_zI1yzswHDWqkqHtWw,Education,18369,55,3,0.054545,0,2,0,N,,
